index,ecg_value,gsr_value,q_status,a_status
0,0.000000,0.286413,0,0
1,0.000000,0.286413,0,0
2,0.560117,0.285435,0,0
3,1.000000,0.285435,0,0
4,0.860215,0.286413,0,0
5,0.000000,0.286413,0,0
6,0.000000,0.285435,0,0
7,0.119257,0.284457,0,0
8,1.000000,0.284457,0,0
9,1.000000,0.285435,0,0
10,0.352884,0.285435,0,0
11,0.000000,0.284457,0,0
12,0.000000,0.284457,0,0
13,0.547410,0.283480,0,0
14,1.000000,0.284457,0,0
15,0.968719,0.284457,0,0
16,0.000000,0.284457,0,0
17,0.000000,0.283480,0,0
18,0.079179,0.283480,0,0
19,1.000000,0.283480,0,0
20,1.000000,0.283480,0,0
21,0.418377,0.283480,0,0
22,0.000000,0.283480,0,0
23,0.000000,0.283480,0,0
24,0.448680,0.282502,0,0
25,1.000000,0.282502,0,0
26,1.000000,0.283480,0,0
27,0.000000,0.283480,0,0
28,0.000000,0.282502,0,0
29,0.000000,0.282502,0,0
30,0.764418,0.282502,0,0
31,1.000000,0.282502,0,0
32,0.558162,0.282502,0,0
33,0.000000,0.282502,0,0
34,0.000000,0.282502,0,0
35,0.128055,0.281525,0,0
36,1.000000,0.281525,0,0
37,1.000000,0.282502,0,0
38,0.081134,0.282502,0,0
39,0.000000,0.282502,0,0
40,0.000000,0.281525,0,0
41,0.773216,0.281525,0,0
42,1.000000,0.281525,0,0
43,0.709677,0.282502,0,0
44,0.000000,0.282502,0,0
45,0.000000,0.281525,0,0
46,0.285435,0.281525,0,0
47,1.000000,0.281525,0,0
48,1.000000,0.281525,0,0
49,0.347996,0.281525,0,0
50,0.000000,0.281525,0,0
51,0.000000,0.281525,0,0
52,0.763441,0.280547,0,0
53,1.000000,0.281525,0,0
54,0.872923,0.281525,0,0
55,0.036168,0.281525,0,0
56,0.000000,0.281525,0,0
57,0.212121,0.280547,0,0
58,1.000000,0.280547,0,0
59,1.000000,0.281525,0,0
60,0.523949,0.281525,0,0
61,0.000000,0.281525,0,0
62,0.000000,0.280547,0,0
63,0.743891,0.280547,0,0
64,1.000000,0.280547,0,0
65,1.000000,0.281525,0,0
66,0.142717,0.281525,0,0
67,0.000000,0.281525,0,0
68,0.209189,0.280547,0,0
69,1.000000,0.280547,0,0
70,1.000000,0.281525,0,0
71,0.729228,0.281525,0,0
72,0.000000,0.281525,0,0
73,0.000000,0.280547,0,0
74,0.793744,0.280547,0,0
75,1.000000,0.280547,0,0
76,1.000000,0.281525,0,0
77,0.345064,0.281525,0,0
78,0.000000,0.281525,0,0
79,0.117302,0.280547,0,0
80,1.000000,0.280547,0,0
81,1.000000,0.280547,0,0
82,0.628543,0.281525,0,0
83,0.000000,0.281525,0,0
84,0.000000,0.280547,0,0
85,0.116325,0.280547,0,0
86,0.749756,0.280547,0,0
87,0.936461,0.281525,0,0
88,0.000000,0.281525,0,0
89,0.000000,0.280547,0,0
90,0.000000,0.280547,0,0
91,0.843597,0.280547,0,0
92,1.000000,0.280547,0,0
93,0.871945,0.281525,0,0
94,0.026393,0.281525,0,0
95,0.000000,0.280547,0,0
96,0.301075,0.280547,0,0
97,1.000000,0.280547,0,0
98,1.000000,0.281525,0,0
99,0.622678,0.281525,0,0
100,0.000000,0.280547,0,0
101,0.024438,0.280547,0,0
102,1.000000,0.280547,0,0
103,1.000000,0.280547,0,0
104,1.000000,0.281525,0,0
105,0.231672,0.281525,0,0
106,0.000000,0.280547,0,0
107,0.395894,0.280547,0,0
108,1.000000,0.280547,0,0
109,1.000000,0.280547,0,0
110,0.670577,0.281525,0,0
111,0.000000,0.280547,0,0
112,0.000000,0.280547,0,0
113,0.781036,0.280547,0,0
114,1.000000,0.280547,0,0
115,1.000000,0.281525,0,0
116,0.341153,0.281525,0,0
117,0.000000,0.280547,0,0
118,0.196481,0.280547,0,0
119,1.000000,0.280547,0,0
120,1.000000,0.280547,0,0
121,0.686217,0.281525,0,0
122,0.000000,0.281525,0,0
123,0.000000,0.280547,0,0
124,0.582600,0.280547,0,0
125,1.000000,0.280547,0,0
126,1.000000,0.280547,0,0
127,0.187683,0.281525,0,0
128,0.000000,0.280547,0,0
129,0.079179,0.280547,0,0
130,1.000000,0.280547,0,0
131,1.000000,0.280547,0,0
132,0.759531,0.281525,0,0
133,0.000000,0.281525,0,0
134,0.000000,0.280547,0,0
135,0.480938,0.280547,0,0
136,1.000000,0.280547,0,0
137,1.000000,0.280547,0,0
138,0.380254,0.281525,0,0
139,0.000000,0.280547,0,0
140,0.038123,0.280547,0,0
141,1.000000,0.280547,0,0
142,1.000000,0.280547,0,0
143,0.979472,0.281525,0,0
144,0.014663,0.280547,0,0
145,0.000000,0.280547,0,0
146,0.416422,0.280547,0,0
147,1.000000,0.280547,0,0
148,1.000000,0.280547,0,0
149,0.497556,0.281525,0,0
150,0.000000,0.280547,0,0
151,0.000000,0.280547,0,0
152,0.859238,0.280547,0,0
153,1.000000,0.280547,0,0
154,1.000000,0.281525,0,0
155,0.000000,0.280547,0,0
156,0.000000,0.280547,0,0
157,0.043988,0.280547,0,0
158,1.000000,0.280547,0,0
159,1.000000,0.280547,0,0
160,0.425220,0.280547,0,0
161,0.000000,0.280547,0,0
162,0.000000,0.280547,0,0
163,0.539589,0.280547,0,0
164,1.000000,0.280547,0,0
165,1.000000,0.280547,0,0
166,0.000000,0.280547,0,0
167,0.000000,0.280547,0,0
168,0.072336,0.280547,0,0
169,1.000000,0.280547,0,0
170,1.000000,0.280547,0,0
171,0.601173,0.280547,0,0
172,0.000000,0.280547,0,0
173,0.000000,0.280547,0,0
174,0.528837,0.280547,0,0
175,1.000000,0.280547,0,0
176,1.000000,0.280547,0,0
177,0.376344,0.280547,0,0
178,0.000000,0.280547,0,0
179,0.079179,0.280547,0,0
180,1.000000,0.280547,0,0
181,1.000000,0.280547,0,0
182,0.774194,0.281525,0,0
183,0.000000,0.280547,0,0
184,0.000000,0.280547,0,0
185,0.541544,0.280547,0,0
186,1.000000,0.280547,0,0
187,1.000000,0.280547,0,0
188,0.374389,0.281525,0,0
189,0.000000,0.280547,0,0
190,0.002933,0.280547,0,0
191,1.000000,0.280547,0,0
192,1.000000,0.280547,0,0
193,0.854350,0.281525,0,0
194,0.000000,0.281525,0,0
195,0.000000,0.280547,0,0
196,0.361681,0.280547,0,0
