index,ecg_value,gsr_value,par,q_status,a_status
0,0.605083,0.608016,1,0,0
1,0.404692,0.608016,0,0,0
2,0.459433,0.607038,1,0,0
3,0.690127,0.606061,0,0,0
4,0.746823,0.605083,1,0,0
5,0.607038,0.605083,0,0,0
6,0.439883,0.604106,1,0,0
7,0.478006,0.603128,0,0,0
8,0.656891,0.603128,1,0,0
9,0.719453,0.602151,0,0,0
10,0.554252,0.602151,1,0,0
11,0.396872,0.601173,0,0,0
12,0.481916,0.600196,1,0,0
13,0.653959,0.600196,0,0,0
14,0.724340,0.600196,1,0,0
15,0.536657,0.599218,0,0,0
16,0.394917,0.599218,1,0,0
17,0.489736,0.598240,0,0,0
18,0.665689,0.598240,1,0,0
19,0.714565,0.597263,0,0,0
20,0.506354,0.597263,1,0,0
21,0.378299,0.596285,0,0,0
22,0.439883,0.596285,1,0,0
23,0.620723,0.596285,0,0,0
24,0.712610,0.595308,1,0,0
25,0.606061,0.595308,0,0,0
26,0.417400,0.595308,1,0,0
27,0.396872,0.594330,0,0,0
28,0.565005,0.594330,1,0,0
29,0.677419,0.594330,0,0,0
30,0.535679,0.594330,1,0,0
31,0.334311,0.593353,0,0,0
32,0.378299,0.593353,1,0,0
33,0.595308,0.593353,0,0,0
34,0.639296,0.593353,1,0,0
35,0.435973,0.593353,0,0,0
36,0.310850,0.592375,1,0,0
37,0.428153,0.592375,0,0,0
38,0.609971,0.592375,1,0,0
39,0.596285,0.592375,0,0,0
40,0.435973,0.592375,1,0,0
41,0.311828,0.591398,0,0,0
42,0.393939,0.591398,1,0,0
43,0.613881,0.591398,0,0,0
44,0.615836,0.591398,1,0,0
45,0.391007,0.591398,0,0,0
46,0.304008,0.591398,1,0,0
47,0.465298,0.591398,0,0,0
48,0.625611,0.590420,1,0,0
49,0.598240,0.590420,0,0,0
50,0.365591,0.590420,1,0,0
51,0.296188,0.590420,0,0,0
52,0.467253,0.590420,1,0,0
53,0.604106,0.590420,0,0,0
54,0.495601,0.590420,1,0,0
55,0.302053,0.590420,0,0,0
56,0.284457,0.590420,1,0,0
