index,ecg_value,gsr_value,par,q_status,a_status
0,0.490714,0.199413,1,0,0
1,0.552297,0.157380,0,0,0
2,0.481916,0.157380,1,0,0
3,0.382209,0.173998,0,0,0
4,0.404692,0.185728,1,0,0
5,0.503421,0.176931,0,0,0
6,0.556207,0.160313,1,0,0
7,0.508309,0.156403,0,0,0
8,0.391007,0.169110,1,0,0
9,0.393939,0.184751,0,0,0
10,0.513196,0.178886,1,0,0
11,0.557185,0.159335,0,0,0
12,0.499511,0.157380,1,0,0
13,0.388074,0.171065,0,0,0
14,0.404692,0.185728,1,0,0
15,0.496579,0.177908,0,0,0
16,0.563050,0.161290,1,0,0
17,0.497556,0.157380,0,0,0
18,0.404692,0.170088,1,0,0
19,0.419355,0.189638,0,0,0
20,0.521994,0.175953,1,0,0
21,0.569892,0.157380,0,0,0
22,0.494624,0.157380,1,0,0
23,0.401760,0.175953,0,0,0
24,0.437928,0.186706,1,0,0
25,0.538612,0.174976,0,0,0
26,0.575758,0.157380,1,0,0
27,0.493646,0.157380,0,0,0
28,0.409580,0.178886,1,0,0
29,0.498534,0.189638,0,0,0
30,0.595308,0.167155,1,0,0
31,0.575758,0.157380,0,0,0
32,0.485826,0.164223,1,0,0
33,0.441838,0.179863,0,0,0
34,0.505376,0.186706,1,0,0
35,0.608016,0.171065,0,0,0
36,0.615836,0.158358,1,0,0
37,0.526882,0.161290,0,0,0
38,0.466276,0.177908,1,0,0
39,0.503421,0.186706,0,0,0
40,0.602151,0.174976,1,0,0
41,0.635386,0.158358,0,0,0
42,0.560117,0.158358,1,0,0
43,0.478006,0.174976,0,0,0
44,0.517107,0.190616,1,0,0
45,0.610948,0.173021,0,0,0
46,0.623656,0.158358,1,0,0
47,0.536657,0.159335,0,0,0
48,0.458456,0.175953,1,0,0
49,0.478006,0.186706,0,0,0
50,0.587488,0.173998,1,0,0
51,0.600196,0.158358,0,0,0
52,0.530792,0.157380,1,0,0
53,0.428153,0.172043,0,0,0
54,0.423265,0.184751,1,0,0
55,0.528837,0.178886,0,0,0
56,0.560117,0.158358,1,0,0
57,0.462366,0.157380,0,0,0
58,0.375367,0.173998,1,0,0
59,0.408602,0.189638,0,0,0
60,0.501466,0.171065,1,0,0
61,0.522972,0.157380,0,0,0
62,0.421310,0.156403,1,0,0
63,0.347019,0.174976,0,0,0
64,0.401760,0.188661,1,0,0
65,0.492669,0.170088,0,0,0
66,0.514174,0.156403,1,0,0
67,0.432063,0.156403,0,0,0
68,0.344086,0.171065,1,0,0
69,0.378299,0.188661,0,0,0
70,0.473118,0.173998,1,0,0
71,0.519062,0.158358,0,0,0
72,0.431085,0.156403,1,0,0
73,0.354839,0.173021,0,0,0
74,0.365591,0.184751,1,0,0
75,0.457478,0.177908,0,0,0
76,0.517107,0.161290,1,0,0
77,0.478006,0.156403,0,0,0
78,0.361681,0.166178,1,0,0
79,0.353861,0.183773,0,0,0
80,0.466276,0.180841,1,0,0
81,0.518084,0.159335,0,0,0
82,0.442815,0.156403,1,0,0
83,0.362659,0.171065,0,0,0
84,0.366569,0.184751,1,0,0
85,0.458456,0.179863,0,0,0
86,0.530792,0.158358,1,0,0
87,0.475073,0.156403,0,0,0
88,0.380254,0.167155,1,0,0
89,0.357771,0.180841,0,0,0
90,0.436950,0.182796,1,0,0
91,0.523949,0.166178,0,0,0
92,0.499511,0.156403,1,0,0
93,0.409580,0.163245,0,0,0
94,0.364614,0.179863,1,0,0
95,0.418377,0.183773,0,0,0
96,0.510264,0.170088,1,0,0
97,0.525904,0.156403,0,0,0
98,0.451613,0.157380,1,0,0
99,0.364614,0.171065,0,0,0
100,0.391007,0.189638,1,0,0
101,0.487781,0.173998,0,0,0
102,0.514174,0.156403,1,0,0
103,0.430108,0.157380,0,0,0
104,0.346041,0.177908,1,0,0
105,0.427175,0.187683,0,0,0
106,0.508309,0.167155,1,0,0
107,0.510264,0.156403,0,0,0
108,0.421310,0.157380,1,0,0
109,0.349951,0.174976,0,0,0
110,0.404692,0.188661,1,0,0
111,0.493646,0.170088,0,0,0
112,0.515152,0.157380,1,0,0
113,0.440860,0.156403,0,0,0
114,0.349951,0.175953,1,0,0
115,0.391984,0.185728,0,0,0
116,0.507331,0.171065,1,0,0
117,0.518084,0.157380,0,0,0
118,0.409580,0.157380,1,0,0
119,0.356794,0.178886,0,0,0
120,0.434018,0.186706,1,0,0
121,0.515152,0.167155,0,0,0
122,0.513196,0.156403,1,0,0
123,0.399805,0.159335,0,0,0
124,0.356794,0.178886,1,0,0
125,0.412512,0.184751,0,0,0
126,0.498534,0.171065,1,0,0
127,0.526882,0.157380,0,0,0
128,0.450635,0.156403,1,0,0
129,0.362659,0.175953,0,0,0
130,0.402737,0.185728,1,0,0
131,0.521994,0.171065,0,0,0
132,0.532747,0.157380,1,0,0
133,0.453568,0.157380,0,0,0
134,0.375367,0.173021,1,0,0
135,0.387097,0.184751,0,0,0
136,0.480938,0.177908,1,0,0
137,0.537634,0.157380,0,0,0
138,0.469208,0.156403,1,0,0
139,0.366569,0.173021,0,0,0
140,0.394917,0.185728,1,0,0
141,0.510264,0.173021,0,0,0
142,0.528837,0.156403,1,0,0
143,0.424242,0.157380,0,0,0
144,0.361681,0.175953,1,0,0
145,0.394917,0.185728,0,0,0
146,0.490714,0.173998,1,0,0
147,0.521994,0.156403,0,0,0
148,0.440860,0.157380,1,0,0
149,0.355816,0.177908,0,0,0
150,0.406647,0.184751,1,0,0
151,0.514174,0.169110,0,0,0
152,0.510264,0.156403,1,0,0
153,0.426197,0.158358,0,0,0
154,0.352884,0.179863,1,0,0
155,0.414467,0.184751,0,0,0
156,0.520039,0.167155,1,0,0
157,0.505376,0.156403,0,0,0
158,0.388074,0.161290,1,0,0
159,0.356794,0.180841,0,0,0
160,0.427175,0.183773,1,0,0
161,0.531769,0.165200,0,0,0
162,0.515152,0.156403,1,0,0
163,0.419355,0.161290,0,0,0
164,0.372434,0.184751,1,0,0
165,0.444770,0.181818,0,0,0
166,0.531769,0.167155,1,0,0
167,0.510264,0.157380,0,0,0
168,0.420332,0.163245,1,0,0
169,0.377322,0.179863,0,0,0
170,0.439883,0.185728,1,0,0
171,0.531769,0.171065,0,0,0
172,0.552297,0.157380,1,0,0
173,0.440860,0.157380,0,0,0
174,0.372434,0.177908,1,0,0
175,0.439883,0.188661,0,0,0
176,0.527859,0.169110,1,0,0
177,0.538612,0.157380,0,0,0
178,0.424242,0.157380,1,0,0
179,0.366569,0.178886,0,0,0
180,0.445748,0.187683,1,0,0
181,0.533724,0.166178,0,0,0
182,0.506354,0.156403,1,0,0
183,0.412512,0.163245,0,0,0
184,0.363636,0.179863,1,0,0
185,0.423265,0.184751,0,0,0
186,0.533724,0.167155,1,0,0
187,0.521017,0.156403,0,0,0
188,0.427175,0.159335,1,0,0
189,0.362659,0.175953,0,0,0
190,0.390029,0.185728,1,0,0
191,0.494624,0.174976,0,0,0
192,0.539589,0.158358,1,0,0
193,0.450635,0.156403,0,0,0
194,0.371457,0.173021,1,0,0
195,0.383187,0.185728,0,0,0
196,0.478006,0.177908,1,0,0
197,0.539589,0.157380,0,0,0
198,0.469208,0.156403,1,0,0
199,0.380254,0.170088,0,0,0
200,0.391007,0.189638,1,0,0
201,0.515152,0.173998,0,0,0
202,0.537634,0.157380,1,0,0
203,0.463343,0.156403,0,0,0
204,0.384164,0.171065,1,0,0
205,0.392962,0.184751,0,0,0
206,0.497556,0.179863,1,0,0
207,0.578690,0.159335,0,0,0
208,0.524927,0.157380,1,0,0
209,0.417400,0.171065,0,0,0
210,0.478983,0.191593,1,0,0
211,0.610948,0.173998,0,0,0
212,0.668622,0.158358,1,0,0
213,0.608016,0.160313,0,0,0
214,0.539589,0.176931,1,0,0
215,0.563050,0.188661,0,0,0
216,0.665689,0.175953,1,0,0
217,0.658847,0.158358,0,0,0
218,0.525904,0.157380,1,0,0
219,0.371457,0.174976,0,0,0
220,0.400782,0.186706,1,0,0
221,0.528837,0.171065,0,0,0
222,0.551320,0.157380,1,0,0
223,0.447703,0.157380,0,0,0
224,0.395894,0.184751,1,0,0
225,0.464321,0.182796,0,0,0
226,0.542522,0.168133,1,0,0
227,0.540567,0.156403,0,0,0
228,0.444770,0.157380,1,0,0
229,0.361681,0.179863,0,0,0
230,0.422287,0.185728,1,0,0
231,0.532747,0.167155,0,0,0
232,0.521994,0.156403,1,0,0
233,0.404692,0.160313,0,0,0
234,0.372434,0.182796,1,0,0
235,0.441838,0.182796,0,0,0
236,0.547410,0.165200,1,0,0
237,0.521994,0.156403,0,0,0
238,0.399805,0.163245,1,0,0
239,0.391007,0.188661,0,0,0
240,0.487781,0.177908,1,0,0
241,0.546432,0.157380,0,0,0
242,0.485826,0.157380,1,0,0
243,0.391984,0.169110,0,0,0
244,0.383187,0.182796,1,0,0
245,0.470186,0.181818,0,0,0
246,0.559140,0.161290,1,0,0
247,0.513196,0.157380,0,0,0
248,0.395894,0.169110,1,0,0
249,0.400782,0.185728,0,0,0
250,0.517107,0.178886,1,0,0
251,0.563050,0.158358,0,0,0
252,0.475073,0.157380,1,0,0
253,0.395894,0.173021,0,0,0
254,0.407625,0.185728,1,0,0
255,0.505376,0.178886,0,0,0
256,0.565005,0.157380,1,0,0
257,0.494624,0.157380,0,0,0
258,0.393939,0.173998,1,0,0
259,0.425220,0.186706,0,0,0
260,0.547410,0.173998,1,0,0
261,0.571847,0.157380,0,0,0
262,0.501466,0.157380,1,0,0
263,0.412512,0.172043,0,0,0
264,0.435973,0.190616,1,0,0
265,0.534702,0.174976,0,0,0
266,0.570870,0.157380,1,0,0
267,0.493646,0.157380,0,0,0
268,0.412512,0.173021,1,0,0
269,0.457478,0.190616,0,0,0
270,0.562072,0.173021,1,0,0
271,0.600196,0.158358,0,0,0
272,0.507331,0.157380,1,0,0
273,0.438905,0.174976,0,0,0
274,0.470186,0.187683,1,0,0
275,0.600196,0.174976,0,0,0
276,0.627566,0.158358,1,0,0
277,0.559140,0.158358,0,0,0
278,0.467253,0.176931,1,0,0
279,0.506354,0.186706,0,0,0
280,0.626588,0.173021,1,0,0
281,0.636364,0.158358,0,0,0
282,0.528837,0.158358,1,0,0
283,0.475073,0.179863,0,0,0
284,0.554252,0.187683,1,0,0
285,0.649071,0.164223,0,0,0
286,0.616813,0.158358,1,0,0
287,0.517107,0.165200,0,0,0
288,0.477028,0.186706,1,0,0
289,0.542522,0.181818,0,0,0
290,0.620723,0.166178,1,0,0
291,0.572825,0.157380,0,0,0
292,0.473118,0.166178,1,0,0
293,0.428153,0.181818,0,0,0
294,0.511241,0.184751,1,0,0
295,0.570870,0.164223,0,0,0
296,0.539589,0.156403,1,0,0
297,0.437928,0.162268,0,0,0
298,0.381232,0.183773,1,0,0
299,0.445748,0.181818,0,0,0
300,0.524927,0.167155,1,0,0
301,0.517107,0.156403,0,0,0
302,0.397849,0.158358,1,0,0
303,0.350929,0.178886,0,0,0
304,0.406647,0.184751,1,0,0
305,0.513196,0.167155,0,0,0
306,0.499511,0.156403,1,0,0
307,0.383187,0.161290,0,0,0
308,0.361681,0.186706,1,0,0
309,0.444770,0.178886,0,0,0
310,0.516129,0.163245,1,0,0
311,0.464321,0.156403,0,0,0
312,0.372434,0.167155,1,0,0
313,0.368524,0.187683,0,0,0
314,0.462366,0.177908,1,0,0
315,0.521017,0.157380,0,0,0
316,0.463343,0.156403,1,0,0
317,0.371457,0.169110,0,0,0
318,0.381232,0.188661,1,0,0
319,0.476051,0.175953,0,0,0
320,0.519062,0.157380,1,0,0
321,0.445748,0.156403,0,0,0
322,0.353861,0.175953,1,0,0
323,0.421310,0.188661,0,0,0
324,0.513196,0.168133,1,0,0
325,0.519062,0.157380,0,0,0
326,0.408602,0.157380,1,0,0
327,0.351906,0.178886,0,0,0
328,0.430108,0.186706,1,0,0
329,0.529814,0.163245,0,0,0
330,0.500489,0.156403,1,0,0
331,0.409580,0.163245,0,0,0
332,0.364614,0.179863,1,0,0
333,0.452590,0.186706,0,0,0
334,0.528837,0.166178,1,0,0
335,0.516129,0.156403,0,0,0
336,0.400782,0.161290,1,0,0
337,0.367546,0.181818,0,0,0
338,0.464321,0.184751,1,0,0
339,0.536657,0.163245,0,0,0
340,0.484848,0.157380,1,0,0
341,0.391984,0.167155,0,0,0
342,0.386119,0.187683,1,0,0
343,0.472141,0.177908,0,0,0
344,0.534702,0.162268,1,0,0
345,0.496579,0.157380,0,0,0
346,0.377322,0.166178,1,0,0
347,0.386119,0.188661,0,0,0
348,0.476051,0.175953,1,0,0
349,0.532747,0.160313,0,0,0
350,0.458456,0.156403,1,0,0
351,0.373412,0.171065,0,0,0
352,0.374389,0.182796,1,0,0
353,0.460411,0.179863,0,0,0
354,0.531769,0.159335,1,0,0
355,0.476051,0.156403,0,0,0
356,0.367546,0.171065,1,0,0
357,0.385142,0.185728,0,0,0
358,0.501466,0.175953,1,0,0
359,0.535679,0.158358,0,0,0
360,0.474096,0.156403,1,0,0
361,0.391984,0.169110,0,0,0
362,0.375367,0.183773,1,0,0
363,0.457478,0.180841,0,0,0
364,0.539589,0.161290,1,0,0
365,0.496579,0.156403,0,0,0
366,0.398827,0.165200,1,0,0
367,0.376344,0.186706,0,0,0
368,0.463343,0.179863,1,0,0
369,0.534702,0.158358,0,0,0
370,0.482893,0.156403,1,0,0
371,0.390029,0.167155,0,0,0
372,0.368524,0.182796,1,0,0
373,0.474096,0.182796,0,0,0
374,0.536657,0.157380,1,0,0
375,0.469208,0.157380,0,0,0
376,0.369501,0.173021,1,0,0
377,0.391007,0.184751,0,0,0
378,0.483871,0.175953,1,0,0
379,0.536657,0.160313,0,0,0
380,0.460411,0.156403,1,0,0
381,0.377322,0.171065,0,0,0
382,0.378299,0.184751,1,0,0
383,0.493646,0.178886,0,0,0
384,0.537634,0.159335,1,0,0
385,0.485826,0.156403,0,0,0
386,0.391984,0.167155,1,0,0
387,0.366569,0.181818,0,0,0
388,0.440860,0.182796,1,0,0
389,0.522972,0.167155,0,0,0
390,0.523949,0.156403,1,0,0
391,0.436950,0.158358,0,0,0
392,0.362659,0.179863,1,0,0
393,0.419355,0.184751,0,0,0
394,0.526882,0.167155,1,0,0
395,0.515152,0.157380,0,0,0
396,0.424242,0.159335,1,0,0
397,0.366569,0.181818,0,0,0
398,0.424242,0.182796,1,0,0
399,0.521994,0.169110,0,0,0
400,0.512219,0.156403,1,0,0
401,0.425220,0.161290,0,0,0
402,0.371457,0.178886,1,0,0
403,0.454545,0.187683,0,0,0
404,0.541544,0.167155,1,0,0
405,0.545455,0.157380,0,0,0
406,0.459433,0.157380,1,0,0
407,0.382209,0.179863,0,0,0
408,0.437928,0.185728,1,0,0
409,0.532747,0.171065,0,0,0
410,0.553275,0.157380,1,0,0
411,0.441838,0.157380,0,0,0
412,0.374389,0.175953,1,0,0
413,0.411535,0.186706,0,0,0
414,0.532747,0.172043,1,0,0
415,0.541544,0.157380,0,0,0
416,0.423265,0.157380,1,0,0
417,0.363636,0.177908,0,0,0
418,0.407625,0.186706,1,0,0
419,0.506354,0.173021,0,0,0
420,0.542522,0.157380,1,0,0
421,0.477028,0.156403,0,0,0
422,0.381232,0.169110,1,0,0
423,0.389052,0.189638,0,0,0
424,0.482893,0.176931,1,0,0
425,0.541544,0.160313,0,0,0
426,0.503421,0.157380,1,0,0
427,0.397849,0.164223,0,0,0
428,0.361681,0.180841,1,0,0
429,0.428153,0.184751,0,0,0
430,0.522972,0.169110,1,0,0
431,0.514174,0.156403,0,0,0
432,0.412512,0.161290,1,0,0
433,0.361681,0.184751,0,0,0
434,0.439883,0.182796,1,0,0
435,0.537634,0.163245,0,0,0
436,0.471163,0.156403,1,0,0
437,0.378299,0.169110,0,0,0
438,0.364614,0.183773,1,0,0
439,0.483871,0.181818,0,0,0
440,0.547410,0.160313,1,0,0
441,0.481916,0.157380,0,0,0
442,0.391984,0.175953,1,0,0
443,0.438905,0.187683,0,0,0
444,0.538612,0.173998,1,0,0
445,0.580645,0.157380,0,0,0
446,0.514174,0.157380,1,0,0
447,0.461388,0.178886,0,0,0
448,0.543500,0.187683,1,0,0
449,0.683284,0.171065,0,0,0
450,0.688172,0.158358,1,0,0
451,0.556207,0.160313,0,0,0
452,0.482893,0.186706,1,0,0
453,0.514174,0.181818,0,0,0
454,0.550342,0.165200,1,0,0
455,0.490714,0.156403,0,0,0
456,0.393939,0.165200,1,0,0
457,0.384164,0.187683,0,0,0
458,0.517107,0.180841,1,0,0
459,0.565982,0.159335,0,0,0
460,0.509286,0.157380,1,0,0
461,0.391007,0.171065,0,0,0
462,0.393939,0.184751,1,0,0
463,0.487781,0.179863,0,0,0
464,0.549365,0.161290,1,0,0
465,0.477028,0.156403,0,0,0
466,0.378299,0.169110,1,0,0
467,0.387097,0.189638,0,0,0
468,0.490714,0.175953,1,0,0
469,0.541544,0.156403,0,0,0
470,0.465298,0.157380,1,0,0
471,0.379277,0.171065,0,0,0
472,0.379277,0.184751,1,0,0
473,0.499511,0.179863,0,0,0
474,0.546432,0.158358,1,0,0
475,0.457478,0.157380,0,0,0
476,0.372434,0.173021,1,0,0
477,0.414467,0.190616,0,0,0
478,0.517107,0.173021,1,0,0
479,0.537634,0.156403,0,0,0
480,0.459433,0.158358,1,0,0
481,0.374389,0.174976,0,0,0
482,0.426197,0.190616,1,0,0
483,0.520039,0.171065,0,0,0
484,0.546432,0.157380,1,0,0
485,0.438905,0.157380,0,0,0
486,0.370479,0.176931,1,0,0
487,0.439883,0.188661,0,0,0
488,0.534702,0.169110,1,0,0
489,0.555230,0.157380,0,0,0
490,0.471163,0.157380,1,0,0
491,0.385142,0.173998,0,0,0
492,0.424242,0.189638,1,0,0
493,0.525904,0.173021,0,0,0
494,0.550342,0.157380,1,0,0
