index,ecg_value,gsr_value,par,q_status,a_status
0,0.436950,0.296188,1,0,0
1,0.469208,0.296188,0,0,0
2,0.491691,0.295210,1,0,0
3,0.474096,0.295210,0,0,0
4,0.447703,0.295210,1,0,0
5,0.438905,0.295210,0,0,0
6,0.462366,0.294233,1,0,0
7,0.489736,0.294233,0,0,0
8,0.488759,0.294233,1,0,0
9,0.453568,0.294233,0,0,0
10,0.438905,0.294233,1,0,0
11,0.457478,0.294233,0,0,0
12,0.491691,0.294233,1,0,0
13,0.484848,0.294233,0,0,0
14,0.447703,0.293255,1,0,0
15,0.435973,0.293255,0,0,0
16,0.467253,0.293255,1,0,0
17,0.543500,0.293255,0,0,0
18,0.266862,0.293255,1,0,0
19,0.000000,0.293255,0,0,0
20,0.000000,0.292278,1,0,0
21,0.000000,0.292278,0,0,0
22,0.000000,0.292278,1,0,0
23,0.000000,0.292278,0,0,0
24,0.079179,0.292278,1,0,0
25,0.261975,0.292278,0,0,0
26,0.460411,0.292278,1,0,0
27,0.543500,0.292278,0,0,0
28,0.550342,0.292278,1,0,0
29,0.504399,0.292278,0,0,0
30,0.447703,0.292278,1,0,0
31,0.449658,0.291300,0,0,0
32,0.482893,0.291300,1,0,0
33,0.481916,0.292278,0,0,0
34,0.455523,0.291300,1,0,0
35,0.438905,0.291300,0,0,0
36,0.454545,0.291300,1,0,0
37,0.481916,0.291300,0,0,0
38,0.490714,0.291300,1,0,0
39,0.459433,0.291300,0,0,0
40,0.435973,0.291300,1,0,0
41,0.454545,0.291300,0,0,0
42,0.484848,0.291300,1,0,0
43,0.485826,0.291300,0,0,0
44,0.461388,0.291300,1,0,0
45,0.440860,0.291300,0,0,0
46,0.451613,0.291300,1,0,0
47,0.481916,0.291300,0,0,0
48,0.492669,0.291300,1,0,0
49,0.467253,0.291300,0,0,0
50,0.440860,0.291300,1,0,0
51,0.454545,0.290323,0,0,0
52,0.483871,0.291300,1,0,0
53,0.488759,0.291300,0,0,0
54,0.461388,0.291300,1,0,0
55,0.438905,0.290323,0,0,0
56,0.456501,0.290323,1,0,0
57,0.484848,0.290323,0,0,0
58,0.485826,0.291300,1,0,0
59,0.457478,0.290323,0,0,0
60,0.436950,0.290323,1,0,0
61,0.460411,0.290323,0,0,0
62,0.491691,0.290323,1,0,0
63,0.478983,0.290323,0,0,0
